Rs,Qs,Ns
"29541;hey everyone, the reason that i chose 30 was because i was thinking of kanye west's movie/music vid ",What's the length of the world's longest music video in minutes by 2010?,2
34682;ok so the longest music video i've ever seen was windowlicker by aphex twin and it was 28 minutes ,What's the length of the world's longest music video in minutes by 2010?,2
31607;i think 30 seems to be the most common response ,What's the length of the world's longest music video in minutes by 2010?,2
26671;Simply based on a rough estimation of trance music videos being around 30 miutes ,What's the length of the world's longest music video in minutes by 2010?,2
34691;would we consider music videos like &quot;trapped in the closet&quot; as one video? its like 2 hours long ,What's the length of the world's longest music video in minutes by 2010?,2
"34682;yeah, exactly ",What's the length of the world's longest music video in minutes by 2010?,2
34682;,What's the length of the world's longest music video in minutes by 2010?,2
34700;Dubstep videos can go on foreverrrrrr so I put almost an hour. Random images + music = playlist some,What's the length of the world's longest music video in minutes by 2010?,2
33524;longest I saw was 10 min long...;I may be wrong ,What's the length of the world's longest music video in minutes by 2010?,2
34682;8% ,What percentage of the U.S. land does Texas occupy?,10
29541;alaska is the biggest ,What percentage of the U.S. land does Texas occupy?,10
29541;and texas is 2nd correct? ,What percentage of the U.S. land does Texas occupy?,10
34682;yeah ,What percentage of the U.S. land does Texas occupy?,10
29077;i think so ,What percentage of the U.S. land does Texas occupy?,10
34700;21% ,What percentage of the U.S. land does Texas occupy?,10
34682;i would be shocked if its more than 12 ,What percentage of the U.S. land does Texas occupy?,10
34700;it is a pretty large state ,What percentage of the U.S. land does Texas occupy?,10
33524;texas is the 2nd largest...dunno about percentage ,What percentage of the U.S. land does Texas occupy?,10
26671;alaska is 1/3 of the us mainland so texas is about 5-10% ,What percentage of the U.S. land does Texas occupy?,10
33524;probably 12-15 ,What percentage of the U.S. land does Texas occupy?,10
29541;the question is kinda flawed cause it doesnt specify if alaskaand ,What percentage of the U.S. land does Texas occupy?,10
29541;hawaii are included ,What percentage of the U.S. land does Texas occupy?,10
31607;,What percentage of the U.S. land does Texas occupy?,10
29541;but lets assume they are? ,What percentage of the U.S. land does Texas occupy?,10
29077;21%though?! think of the map... definitely doesn't fill that much ,What percentage of the U.S. land does Texas occupy?,10
33524;12 ,What percentage of the U.S. land does Texas occupy?,10
